time(s)	cellId	rnti	lcid	packetSize
0.403036	2	1	3	1030
0.403042	2	1	3	1030
0.403048	2	1	3	1030
0.403054	2	1	3	1030
0.40306	2	1	3	1030
0.403066	2	1	3	1030
0.403072	2	1	3	1030
0.403078	2	1	3	1030
0.403084	2	1	3	1030
0.40309	2	1	3	1030
0.403096	2	1	3	1030
0.403102	2	1	3	1030
0.403108	2	1	3	1030
0.403114	2	1	3	1030
0.40312	2	1	3	1030
0.403126	2	1	3	1030
0.403132	2	1	3	1030
0.403138	2	1	3	1030
0.403144	2	1	3	1030
0.40315	2	1	3	1030
0.403156	2	1	3	1030
0.403162	2	1	3	1030
0.403168	2	1	3	1030
0.403174	2	1	3	1030
0.40318	2	1	3	1030
0.403186	2	1	3	1030
0.403192	2	1	3	1030
0.403198	2	1	3	1030
0.403204	2	1	3	1030
0.40321	2	1	3	1030
0.403216	2	1	3	1030
0.403222	2	1	3	1030
0.403228	2	1	3	1030
0.403234	2	1	3	1030
0.40324	2	1	3	1030
0.403246	2	1	3	1030
0.403252	2	1	3	1030
0.403258	2	1	3	1030
0.403264	2	1	3	1030
0.40327	2	1	3	1030
0.403276	2	1	3	1030
0.403282	2	1	3	1030
0.403288	2	1	3	1030
0.403294	2	1	3	1030
0.4033	2	1	3	1030
0.403306	2	1	3	1030
0.403312	2	1	3	1030
0.403318	2	1	3	1030
0.403324	2	1	3	1030
0.40333	2	1	3	1030
0.403336	2	1	3	1030
0.403342	2	1	3	1030
0.403348	2	1	3	1030
0.403354	2	1	3	1030
0.40336	2	1	3	1030
0.403366	2	1	3	1030
0.403372	2	1	3	1030
0.403378	2	1	3	1030
0.403384	2	1	3	1030
0.40339	2	1	3	1030
0.403396	2	1	3	1030
0.403402	2	1	3	1030
0.403408	2	1	3	1030
0.403414	2	1	3	1030
0.40342	2	1	3	1030
0.403426	2	1	3	1030
0.403432	2	1	3	1030
0.403438	2	1	3	1030
0.403444	2	1	3	1030
0.40345	2	1	3	1030
0.403456	2	1	3	1030
0.403462	2	1	3	1030
0.403468	2	1	3	1030
0.403474	2	1	3	1030
0.40348	2	1	3	1030
0.403486	2	1	3	1030
0.403492	2	1	3	1030
0.403498	2	1	3	1030
0.403504	2	1	3	1030
0.40351	2	1	3	1030
0.403516	2	1	3	1030
0.403522	2	1	3	1030
0.403528	2	1	3	1030
0.403534	2	1	3	1030
0.40354	2	1	3	1030
0.403546	2	1	3	1030
0.403552	2	1	3	1030
0.403558	2	1	3	1030
0.403564	2	1	3	1030
0.40357	2	1	3	1030
0.403576	2	1	3	1030
0.403582	2	1	3	1030
0.403588	2	1	3	1030
0.403594	2	1	3	1030
0.4036	2	1	3	1030
0.403606	2	1	3	1030
0.403612	2	1	3	1030
0.403618	2	1	3	1030
0.403624	2	1	3	1030
0.40363	2	1	3	1030
0.403636	2	1	3	1030
0.403642	2	1	3	1030
0.403648	2	1	3	1030
0.403654	2	1	3	1030
0.40366	2	1	3	1030
0.403666	2	1	3	1030
0.403672	2	1	3	1030
0.403678	2	1	3	1030
0.403684	2	1	3	1030
0.40369	2	1	3	1030
0.403696	2	1	3	1030
0.403702	2	1	3	1030
0.403708	2	1	3	1030
0.403714	2	1	3	1030
0.40372	2	1	3	1030
0.403726	2	1	3	1030
0.403732	2	1	3	1030
